FAMILy,Species,en,DF,SVL
Allophrynidae,Allophryne_ruthveni,still,,20.6
Alsodidae,Alsodes_nodosus,,1140,75.85
Alytidae,Alytes_cisternasii,flowing,1491,41
Arthroleptidae,Cardioglossa_occidentalis,,4100,27.3
Arthroleptidae,Leptopelis_argenteus,still,,45
Arthroleptidae,Leptopelis_bocagii,still,600,52
Arthroleptidae,Leptopelis_concolor,,1750,34
Arthroleptidae,Leptopelis_kivuensis,still,,37
Batrachylidae,Batrachyla_antartandica,still,1951,36.7
Batrachylidae,Hylorina_sylvatica,still,1252,56
Bufonidae,Ansonia_hanitschi,flowing,5700,32
Bufonidae,Ansonia_leptopus,flowing,3933,40
Bufonidae,Ansonia_longidigita,flowing,3525,52
Bufonidae,Ansonia_longidigita,flowing,3502,52
Bufonidae,Ansonia_longidigita,flowing,3500,50
Bufonidae,Ansonia_platysoma,flowing,8000,25
Bufonidae,Atelopus_chiriquiensis,flowing,2025,34
Bufonidae,Atelopus_flavescens,flowing,2725,30
Bufonidae,Atelopus_franciscus,flowing,3320,21
Bufonidae,Atelopus_peruensis,flowing,1950,38.5
Bufonidae,Atelopus_pulcher,flowing,2429,29.3
Bufonidae,Atelopus_spumarius,flowing,3375,29
Bufonidae,Atelopus_varius,flowing,2350,41
Bufonidae,Atelopus_zeteki,flowing,1820,40
Bufonidae,Bufo_arenarum,still,1100,112
Bufonidae,Bufo_asper,flowing,1031,100
Bufonidae,Bufo_beebei,still,3150,51
Bufonidae,Bufo_brauni,flowing,1120,65
Bufonidae,Bufo_calamita,still,1477,71
Bufonidae,Bufo_castaneoticus,still,1650,37.7
Bufonidae,Bufo_coccifer,still,2512,62
Bufonidae,Bufo_cognatus,still,2307,103
Bufonidae,Bufo_empusus,still,1547,75
Bufonidae,Bufo_empusus,still,1549,76
Bufonidae,Bufo_granulosus,still,2906,70
Bufonidae,Bufo_gundlachi,still,2669,34
Bufonidae,Bufo_gutturalis,still,1150,90
Bufonidae,Bufo_houstonensis,still,2151,77
Bufonidae,Bufo_ibarrai,still,1700,82
Bufonidae,Bufo_juxtasper,flowing,718,138
Bufonidae,Bufo_longinasus,flowing,2329,29
Bufonidae,Bufo_luetkenii,still,1700,96
Bufonidae,Bufo_marmoreus,flowing,1825,83
Bufonidae,Bufo_melanochlorus,flowing,1700,65
Bufonidae,Bufo_nebulifer,still,1475,98
Bufonidae,Bufo_ocellatus,still,1378,53
Bufonidae,Bufo_pantherinus,still,2500,91
Bufonidae,Bufo_pardalis,still,650,110
Bufonidae,Bufo_quercicus,still,4750,32
Bufonidae,Bufo_raddei,still,1513,67
Bufonidae,Bufo_retiformis,still,3113,47
Bufonidae,Bufo_schneideri,still,700,180
Bufonidae,Bufo_siculus,still,1600,86.6
Bufonidae,Bufo_speciosus,still,2621,78
Bufonidae,Bufo_steindachneri,still,2142,48.3
Bufonidae,Bufo_taladai,flowing,768,138
